Campus;Cod_Curso;Curso;A0;L01;L02;L05;L06;L09;L10;L13;L14;Total
VI;5000598;CIÊNCIAS BIOLÓGICAS;25;5;5;4;5;1;2;1;2;50
VI;5000598;LICENCIATURA EM CIÊNCIAS BIOLÓGICAS;20;3;5;3;5;1;1;1;1;40
VI;5000602;CIÊNCIAS SOCIAIS;30;5;7;5;7;1;2;1;2;60
VI;5000603;DANÇA;10;2;2;2;2;0;1;0;1;20
VI;5000600;LICENCIATURA EM FÍSICA;20;3;5;3;5;1;1;1;1;40
VI;5000600;FÍSICA;25;5;5;4;5;1;2;1;2;50
VI;5000604;GEOGRAFIA;25;5;5;4;5;1;2;1;2;50
VI;5000605;HISTÓRIA;25;5;5;4;5;1;2;1;2;50
VI;5000606;LETRAS;30;5;7;5;7;1;2;1;2;60
VI;5000694;MATEMÁTICA;22;4;5;4;5;1;2;1;1;45
VI;5000694;LICENCIATURA EM MATEMÁTICA;20;3;5;3;5;1;1;1;1;40
VI;5000601;LICENCIATURA EM QUÍMICA;20;3;5;3;5;1;1;1;1;40
VI;5000601;QUÍMICA;30;5;7;5;7;1;2;1;2;60
VI;683;ADMINISTRAÇÃO;30;5;7;5;7;1;2;1;2;60
VI;21972;AGRONEGÓCIO;20;3;5;3;5;1;1;1;1;40
VI;685;AGRONOMIA;105;19;22;19;22;5;7;5;6;210
VI;704;ARQUITETURA E URBANISMO;20;3;5;3;5;1;1;1;1;40
VI;39114;BIOQUÍMICA;20;3;5;3;5;1;1;1;1;40
VI;703;CIÊNCIA DA COMPUTAÇÃO;20;3;5;3;5;1;1;1;1;40
VI;18856;CIÊNCIA E TECNOLOGIA DE LATICÍNIOS;15;2;4;2;3;1;1;1;1;30
VI;21586;CIÊNCIAS CONTÁBEIS;20;3;5;3;5;1;1;1;1;40
VI;686;CIÊNCIAS ECONÔMICAS;25;5;5;4;5;1;2;1;2;50
VI;43916;COMUNICAÇÃO SOCIAL;20;3;5;3;5;1;1;1;1;40
VI;699;COOPERATIVISMO;20;3;5;3;5;1;1;1;1;40
VI;705;DIREITO;30;5;7;5;7;1;2;1;2;60
VI;300687;EDUCAÇÃO FÍSICA - BACHARELADO;20;3;5;3;5;1;1;1;1;40
VI;687;EDUCAÇÃO FÍSICA - LICENCIATURA;15;2;4;2;3;1;1;1;1;30
VI;39274;EDUCAÇÃO INFANTIL;20;3;5;3;5;1;1;1;1;40
VI;120830;ENFERMAGEM;25;5;5;4;5;1;2;1;2;50
VI;55452;ENGENHARIA AGRÍCOLA E AMBIENTAL;20;3;5;3;5;1;1;1;1;40
VI;21587;ENGENHARIA AMBIENTAL;20;3;5;3;5;1;1;1;1;40
VI;689;ENGENHARIA CIVIL;30;5;7;5;7;1;2;1;2;60
VI;682;ENG. DE AGRIMENSURA E CARTOGRÁFICA;20;3;5;3;5;1;1;1;1;40
VI;691;ENGENHARIA DE ALIMENTOS;30;5;7;5;7;1;2;1;2;60
VI;21585;ENGENHARIA DE PRODUÇÃO;20;3;5;3;5;1;1;1;1;40
VI;39087;ENGENHARIA ELÉTRICA;20;3;5;3;5;1;1;1;1;40
VI;692;ENGENHARIA FLORESTAL;30;5;7;5;7;1;2;1;2;60
VI;109826;ENGENHARIA MECÂNICA;20;3;5;3;5;1;1;1;1;40
VI;109828;ENGENHARIA QUÍMICA;20;3;5;3;5;1;1;1;1;40
VI;1068548;MEDICINA;25;5;5;4;5;1;2;1;2;50
VI;695;MEDICINA VETERINÁRIA;30;5;7;5;7;1;2;1;2;60
VI;698;NUTRIÇÃO;25;5;5;4;5;1;2;1;2;50
VI;697;PEDAGOGIA;30;5;7;5;7;1;2;1;2;60
VI;18860;SECRETARIADO EXECUTIVO TRILINGUE;12;2;3;2;3;1;1;0;1;25
VI;1376265;SERVIÇO SOCIAL;30;5;7;5;7;1;2;1;2;60
VI;701;ZOOTECNIA;40;7;9;7;9;2;2;2;2;80
FL;1126514;ADMINISTRAÇÃO - FL;30;5;7;5;7;1;2;1;2;60
FL;1113139;AGRONOMIA - FL;22;4;5;4;5;1;2;1;1;45
FL;1161839;CIÊNCIA DA COMPUTAÇÃO - FL;25;5;5;4;5;1;2;1;2;50
FL;122354;LICENCIATURA EM CIÊNCIAS BIOLÓGICAS - FL;12;2;3;2;3;1;1;0;1;25
FL;1114569;LICENCIATURA EM EDUCAÇÃO FÍSICA - FL;25;5;5;4;5;1;2;1;2;50
FL;1109544;ENGENHARIA DE ALIMENTOS - FL;22;4;5;4;5;1;2;1;1;45
FL;122356;LICENCIATURA EM FÍSICA - FL;12;2;3;2;3;1;1;0;1;25
FL;112074;GESTÃO AMBIENTAL - FL;25;5;5;4;5;1;2;1;2;50
FL;122358;LICENCIATURA EM MATEMÁTICA - FL;12;2;3;2;3;1;1;0;1;25
FL;122360;LICENCIATURA EM QUÍMICA - FL;12;2;3;2;3;1;1;0;1;25
RP;111120;ADMINISTRAÇÃO - DIURNO - RP;25;5;5;4;5;1;2;1;2;50
RP;111120;ADMINISTRAÇÃO - NOTURNO - RP;25;5;5;4;5;1;2;1;2;50
RP;111128;AGRONOMIA - RP;25;5;5;4;5;1;2;1;2;50
RP;118058;CIÊNCIA E TECNOLOGIA DE ALIMENTOS - RP;17;3;4;3;4;1;1;1;1;35
RP;1135277;CIÊNCIAS BIOLÓGICAS - RP;25;5;5;4;5;1;2;1;2;50
